Feature,Importance
G2,0.7988358527339747
absences,0.11519551959699423
reason_home,0.018220142799168577
age,0.00960155688468873
G1,0.004508705794972543
health,0.004172688382123731
guardian_mother,0.0033385066188319585
famrel,0.003037842714022902
reason_course,0.0030176964308652548
goout,0.00249877547494914
Walc,0.002315602583893448
romantic_no,0.0020483679568517013
activities_yes,0.0020449580692245496
avg_parent_edu,0.002006997545498089
schoolsup_no,0.0019189785428967436
freetime,0.0016681919984344088
studytime,0.0016409036918554397
romantic_yes,0.001528233311100459
guardian_other,0.0014386833619807373
Fedu,0.0012307026366960737
Fjob_other,0.0011848292319373939
Fjob_services,0.00117673266135542
activities_no,0.0011212645286355373
schoolsup_yes,0.0011009232363726718
Mjob_teacher,0.000976995869872321
romantic_rel,0.0008273320830954612
traveltime,0.0008015675259371419
Medu,0.00076128443048999
has_failures,0.0006969090045840184
Mjob_other,0.0006894031299528894
Dalc,0.0006093967193482277
guardian_father,0.0006038375187497691
Mjob_services,0.0005886062670227128
failures,0.0005724490454902594
reason_reputation,0.0005461220753921845
high_studytime,0.0004947007811361988
paid_yes,0.0004663552501428656
Mjob_at_home,0.00045702171623147246
paid_no,0.00043691636620015964
reason_other,0.000419515581858551
sex_M,0.0004104299938386642
sex_F,0.0003771488863166314
high_absenteeism,0.00035757236361701216
famsup_no,0.00035605336800346115
internet_yes,0.00034873475625485866
school_MS,0.0003293180526940069
internet_no,0.0002724207031814462
famsize_LE3,0.0002514093580486666
has_internet,0.00021768511892902167
big_family,0.00021441910938523864
famsize_GT3,0.00019610543758797626
address_R,0.0001722497411952974
famsup_yes,0.00015627415443327284
nursery_yes,0.00015208048046088944
Mjob_health,0.00013966111151434454
Fjob_at_home,0.00013890302057923133
Pstatus_T,0.00013120574043645907
Fjob_teacher,0.00012907581956030269
nursery_no,0.00012272639938478274
school_GP,0.00011654695441894618
urban_student,0.00011078845195768189
Pstatus_A,9.796065316580342e-05
parents_together,9.079721742781951e-05
address_U,8.948479367167276e-05
long_travel,8.225673291309367e-05
higher_no,6.0105744473689816e-05
high_alcohol_use,5.154022111116255e-05
Fjob_health,1.8875433220741654e-05
higher_yes,7.100029389049846e-06
early_failure,0.0
