iter	RMSE
0	0.9831403629
1	0.976267768
2	0.9697209279
3	0.9644794455
4	0.9596581913
5	0.9536929348
6	0.9479267217
7	0.9438430419
8	0.9388579947
9	0.9337908474
10	0.928605898
11	0.9242078872
12	0.918700986
13	0.9160824489
14	0.9109499725
15	0.907403526
16	0.9027299378
17	0.8988265549
18	0.8942682198
19	0.8904792944
20	0.8867455095
21	0.882502733
22	0.8790589579
23	0.8749559429
24	0.8717299934
25	0.8697682582
26	0.8670345003
27	0.8629886597
28	0.8579877159
29	0.854419039
30	0.8513340643
31	0.8470314899
32	0.8442919266
33	0.8405339256
34	0.837626514
35	0.8366893885
36	0.8332830296
37	0.8292739442
38	0.82682437
39	0.8238884091
40	0.8215391046
41	0.8170915997
42	0.8152071015
43	0.8124586552
44	0.8105381337
45	0.8075286243
46	0.8035753355
47	0.8005685505
48	0.7981412839
49	0.7953478033
50	0.7914685502
51	0.789379285
52	0.7870825406
53	0.7836240981
54	0.7822231415
55	0.7793842047
56	0.7771790663
57	0.7733411356
58	0.7710612912
59	0.7688026004
60	0.7665192855
61	0.7637560953
62	0.7624796172
63	0.7588024756
64	0.7555323641
65	0.7531228807
66	0.7502863477
67	0.7474805304
68	0.7451606301
69	0.7419874027
70	0.7396680074
71	0.7377968396
72	0.7355394356
73	0.7336132299
74	0.7315942668
75	0.7294797158
76	0.7275734298
77	0.7260762081
78	0.7234974385
79	0.7210212483
80	0.7193668161
81	0.7177675628
82	0.7155957842
83	0.7132927544
84	0.711207318
85	0.7080545256
86	0.7053969687
87	0.7035024723
88	0.7021713896
89	0.7001221428
90	0.696682226
91	0.6941232755
92	0.6915163421
93	0.6882473509
94	0.6865811628
95	0.6842025592
96	0.6822208278
97	0.680409408
98	0.6788233643
99	0.6763821065
100	0.6747144822
101	0.6727205866
102	0.670520283
103	0.6685911663
104	0.6663071755
105	0.6637508834
106	0.6619960847
107	0.6609164975
108	0.659089462
109	0.6577559449
110	0.6550446974
111	0.6537327993
112	0.6514012297
113	0.6493223401
114	0.6483678493
115	0.6454094575
116	0.6437002983
117	0.6424861769
118	0.6403702019
119	0.6371788235
120	0.6362029151
121	0.6340331536
122	0.6326026955
123	0.6301741053
124	0.6286479614
125	0.6261654179
126	0.6242841242
127	0.6215635758
128	0.6190157351
129	0.6179947773
130	0.6160585547
131	0.6142764899
132	0.6118133012
133	0.609564402
134	0.6064053798
135	0.6036797885
136	0.602041581
137	0.5994646136
138	0.5977120345
139	0.5964101054
140	0.5951849437
141	0.5927176654
142	0.5911793676
143	0.5889936067
144	0.5883154827
145	0.5864357597
146	0.5848162122
147	0.5834407153
148	0.5817654167
149	0.579861535
150	0.5783220528
151	0.5776883025
152	0.5766049335
153	0.574596187
154	0.5728490026
155	0.5715330164
156	0.5701582946
157	0.5682145027
158	0.5663439175
159	0.5642619558
160	0.5623612284
161	0.5611744469
162	0.5589844762
163	0.5569464403
164	0.5554586426
165	0.5535689707
166	0.5521997855
167	0.550635346
168	0.5488149026
169	0.5482939539
170	0.5465536872
171	0.5449176896
172	0.5439650672
173	0.5428189543
174	0.5412648052
175	0.5398868005
176	0.5382587046
177	0.5371077055
178	0.5354169535
179	0.5333164386
180	0.5321534014
181	0.5307656399
182	0.5287084292
183	0.5272443891
184	0.52486128
185	0.5236588215
186	0.5222318147
187	0.5209273617
188	0.519536442
189	0.518868731
190	0.5170674316
191	0.5154068861
192	0.5138082493
193	0.5123074132
194	0.5109999164
195	0.5090007451
196	0.5082705205
197	0.5064186946
198	0.5053776404
199	0.5038718149
200	0.5017836444
201	0.5011613602
202	0.4993067491
203	0.4969881027
204	0.4963499787
205	0.4950195368
206	0.4942024909
207	0.4930577989
208	0.4926127501
209	0.4910606876
210	0.4904114153
211	0.4881341117
212	0.4865666905
213	0.4848306056
214	0.4832764514
215	0.4819453472
216	0.4803283895
217	0.479227262
218	0.4779574985
219	0.4766269016
220	0.4756057455
221	0.4741588246
222	0.4724476752
223	0.470895845
224	0.4691629684
225	0.4684877297
226	0.4677185202
227	0.4662367982
228	0.4655161892
229	0.4649004498
230	0.4643048651
231	0.4633132624
232	0.4622929071
233	0.4611442182
234	0.4594992992
235	0.4586601849
236	0.456897542
237	0.4553426989
238	0.4549706421
239	0.4533666433
240	0.4515484748
241	0.449741519
242	0.4488721579
243	0.4485492326
244	0.4480048565
245	0.4465595827
246	0.445290169
247	0.4433987915
