iter	Passed	Remaining
0	1	1562
1	3	1521
2	4	1519
3	6	1564
4	8	1605
5	9	1583
6	11	1561
7	12	1547
8	13	1532
9	15	1521
10	16	1518
11	18	1513
12	19	1505
13	22	1560
14	23	1570
15	25	1565
16	26	1558
17	28	1549
18	29	1541
19	31	1533
20	32	1527
21	34	1522
22	35	1522
23	37	1538
24	39	1559
25	41	1566
26	43	1566
27	45	1564
28	46	1561
29	48	1556
30	49	1557
31	51	1552
32	53	1555
33	54	1560
34	56	1558
35	57	1533
36	58	1532
37	60	1532
38	62	1529
39	63	1525
40	65	1525
41	66	1521
42	68	1520
43	70	1522
44	71	1518
45	72	1511
46	74	1505
47	75	1499
48	76	1492
49	78	1491
50	80	1490
51	81	1486
52	82	1481
53	84	1481
54	86	1478
55	87	1474
56	88	1469
57	90	1464
58	91	1464
59	93	1460
60	94	1455
61	95	1449
62	97	1444
63	98	1438
64	100	1438
65	101	1438
66	103	1435
67	104	1430
68	105	1427
69	107	1424
70	108	1421
71	109	1417
72	111	1413
73	112	1409
74	114	1406
75	115	1406
76	117	1405
77	118	1402
78	119	1398
79	121	1395
80	122	1391
81	124	1388
82	125	1385
83	126	1381
84	128	1378
85	129	1375
86	131	1376
87	132	1375
88	134	1372
89	135	1369
90	136	1367
91	138	1364
92	139	1361
93	140	1357
94	142	1354
95	143	1351
96	144	1348
97	146	1347
98	148	1347
99	149	1345
100	151	1345
101	152	1344
102	154	1341
103	155	1338
104	156	1335
105	158	1333
106	159	1330
107	160	1328
108	162	1328
109	164	1327
110	165	1327
111	167	1325
112	168	1322
113	169	1319
114	171	1317
115	172	1314
116	173	1312
117	175	1309
118	176	1306
119	178	1306
120	179	1305
121	181	1303
122	182	1301
123	183	1298
124	185	1296
125	186	1294
126	187	1291
127	189	1289
128	190	1286
129	191	1284
130	193	1284
131	195	1283
132	196	1281
133	198	1279
134	199	1278
135	200	1276
136	202	1274
137	203	1271
138	204	1269
139	206	1266
140	207	1265
141	209	1265
142	211	1265
143	212	1263
144	213	1261
145	215	1259
146	216	1257
147	217	1254
148	219	1252
149	220	1249
150	221	1247
151	223	1245
152	224	1245
153	226	1244
154	227	1242
155	229	1241
156	230	1239
157	232	1237
158	233	1235
159	234	1232
160	236	1230
161	237	1229
162	239	1227
163	240	1226
164	242	1226
165	243	1224
166	245	1223
167	253	1252
168	254	1250
169	255	1249
170	257	1249
171	259	1248
172	260	1246
173	262	1243
174	263	1241
175	264	1238
176	266	1236
177	267	1234
178	268	1232
179	270	1230
180	271	1228
181	273	1228
182	275	1229
183	276	1227
184	278	1225
185	279	1223
186	280	1221
187	282	1218
188	283	1216
189	284	1214
190	286	1212
191	287	1211
192	289	1210
193	290	1208
194	292	1206
195	293	1204
196	295	1202
197	296	1200
198	297	1198
199	299	1196
200	300	1194
201	301	1192
202	303	1190
203	305	1190
204	306	1188
205	307	1186
206	309	1185
207	310	1183
208	312	1181
209	313	1179
210	314	1177
211	316	1176
212	317	1174
213	319	1173
214	321	1172
215	322	1170
216	324	1169
217	325	1169
218	327	1169
219	329	1168
220	331	1166
221	332	1164
222	333	1163
223	335	1163
224	337	1162
225	338	1160
226	340	1158
227	341	1157
228	343	1155
229	344	1153
230	345	1151
231	347	1149
232	348	1148
233	350	1147
234	352	1147
235	354	1146
236	355	1145
237	357	1143
238	358	1141
239	360	1140
240	361	1138
241	363	1137
242	364	1135
243	366	1135
244	368	1134
245	369	1133
246	371	1132
247	372	1130
248	374	1129
249	375	1127
250	377	1125
251	378	1124
252	380	1123
253	382	1124
254	384	1124
255	386	1123
256	388	1122
257	390	1121
258	391	1120
259	393	1119
260	394	1118
261	396	1117
262	398	1116
263	400	1115
264	401	1114
265	403	1112
266	404	1111
267	406	1109
268	407	1107
269	409	1106
270	410	1105
271	412	1104
272	414	1103
273	415	1101
274	417	1100
275	418	1099
276	420	1097
277	421	1095
278	423	1094
279	425	1093
280	426	1091
281	428	1091
282	430	1090
283	432	1089
284	433	1088
285	435	1087
286	436	1085
287	438	1084
288	440	1082
289	441	1081
290	443	1080
291	445	1079
292	446	1077
293	448	1076
294	449	1075
295	451	1073
296	453	1072
297	454	1071
298	456	1070
299	458	1068
300	459	1067
301	461	1066
302	463	1065
303	464	1063
304	466	1062
305	467	1060
306	469	1059
307	470	1057
308	472	1056
309	473	1054
310	475	1053
311	477	1053
312	479	1051
313	480	1050
314	482	1049
315	484	1047
316	485	1046
317	487	1044
318	488	1043
319	490	1042
320	497	1051
321	498	1049
322	500	1048
323	501	1046
324	502	1044
325	504	1042
326	506	1041
327	508	1041
328	509	1039
329	511	1038
330	512	1036
331	514	1034
332	515	1033
333	517	1031
334	518	1029
335	520	1027
336	521	1026
337	523	1025
338	525	1024
339	526	1022
340	528	1021
341	529	1019
342	531	1018
343	533	1016
344	534	1015
345	536	1013
346	538	1012
347	572	1072
348	574	1072
349	576	1070
350	578	1069
351	579	1067
352	581	1065
353	582	1063
354	584	1061
355	585	1059
356	587	1058
357	588	1055
358	590	1053
359	591	1051
360	592	1049
361	594	1047
362	595	1044
363	596	1042
364	598	1040
365	599	1038
366	600	1036
367	602	1034
368	603	1032
369	605	1030
370	606	1028
371	607	1026
372	609	1024
373	610	1021
374	611	1019
375	613	1018
376	615	1016
377	616	1014
378	618	1013
379	620	1011
380	621	1010
381	623	1008
382	624	1006
383	626	1004
384	627	1002
385	629	1000
386	630	998
387	631	996
388	633	995
389	635	993
390	636	991
391	638	989
392	639	988
393	641	986
394	642	984
395	644	982
396	645	981
397	647	979
398	649	978
399	651	976
400	652	974
401	654	973
402	656	971
403	657	970
404	659	968
405	660	966
406	662	965
407	663	963
408	665	962
409	667	960
410	669	959
411	670	957
412	672	955
413	674	954
414	675	952
415	677	950
416	678	948
417	680	947
418	682	946
419	683	944
420	685	942
421	687	941
422	688	939
423	690	937
424	691	935
425	693	934
426	694	932
427	696	931
428	698	930
429	700	929
430	702	927
431	704	926
432	706	924
433	707	922
434	709	921
435	710	919
436	712	918
437	714	916
438	716	915
439	717	913
440	719	911
441	720	910
442	722	908
443	724	906
444	725	904
445	727	903
446	729	902
447	730	900
448	732	898
449	733	897
450	735	895
451	736	893
452	738	891
453	740	890
454	741	888
455	743	887
456	745	885
457	747	884
458	749	883
459	751	881
460	752	879
461	754	878
462	756	876
463	757	875
464	759	874
465	761	872
466	763	870
467	764	869
468	766	867
469	767	866
470	769	864
471	771	862
472	772	861
473	774	859
474	776	858
475	778	856
476	779	855
477	781	853
478	783	851
479	784	850
480	786	848
481	787	846
482	789	845
483	791	843
484	793	842
485	794	840
486	796	839
487	798	837
488	799	835
489	801	834
490	802	832
491	804	830
492	806	829
493	808	828
494	810	826
495	811	824
496	813	823
497	814	821
498	816	819
499	818	818
500	819	816
501	821	814
502	823	813
503	825	811
504	826	810
505	828	808
506	830	807
507	831	805
508	833	803
509	834	802
510	836	800
511	838	799
512	840	797
513	842	796
514	843	794
515	845	792
516	846	791
517	848	789
518	850	787
519	851	786
520	853	784
521	855	783
522	857	782
523	859	780
524	860	778
525	862	777
526	863	775
527	865	773
528	867	772
529	869	770
530	870	769
531	872	767
532	874	766
533	875	764
534	877	762
535	879	760
536	880	759
537	882	757
538	884	756
539	886	755
540	887	753
541	889	751
542	891	750
543	892	748
544	894	746
545	895	744
546	897	743
547	899	741
548	901	740
549	902	738
550	904	736
551	905	735
552	907	733
553	909	731
554	910	730
555	912	728
556	913	726
557	915	725
558	917	724
559	919	722
560	920	720
561	922	718
562	924	717
563	925	715
564	927	713
565	928	712
566	930	710
567	932	709
568	933	707
569	935	705
570	937	704
571	938	702
572	940	700
573	941	699
574	943	697
575	944	695
576	946	694
577	948	692
578	950	691
579	952	689
580	953	687
581	955	686
582	957	684
583	958	682
584	960	681
585	961	679
586	963	677
587	965	676
588	966	674
589	968	673
